CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,leitos
2078058,3552502078058,35,355250,56577059000100.0,HC DA FMUSP FUNDACAO FACULDADE DE MEDICINA,HC DA FMUSP HOSPITAL AUXILIAR DE SUZANO,,,E,,,E ,ESTADUAL,2,5,8610005,RUA PRUDENTE DE MORAES,2200,VIL AMORIM,(11)47481122,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,hasuzano@hanet.usp.br,1000,0.0,0.0,0.0,0.0,1,1,4.0,NAO,0
2078066,3525902078066,35,352590,,NOTRE DAME INTERMEDICA SAUDE S A,INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO,,,M,,,M ,MUNICIPAL,4,5,13201905,XV DE NOVEMBRO,865,CENTRO,11 31551878,-23.18981228,-46.87913686,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",44649812001614.0,FABIO.OLIVEIRA@INTERMEDICA.COM.BR,2054,1.0,1.0,1.0,1.0,1,1,,SIM,92
2078074,3526702078074,35,352670,,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LEME,SANTA CASA DE LEME,,,M,,,M ,MUNICIPAL,4,5,13610230,RUA PADRE JULIAO,1213,CENTRO,(19)5713500,-22.1900807,-47.39199512,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",51381903000109.0,,3999,1.0,1.0,1.0,1.0,1,1,,SIM,68
2078082,3550302078082,35,355030,,AMICO SAUDE LTDA,HOSPITAL E MATERNIDADE METROPOLITANO,,,M,,,M ,MUNICIPAL,4,5,5044010,MARCELINA,441,VILA ROMANA,21 38051000,-23.53049986,-46.69718921,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",51722957012512.0,,2054,1.0,1.0,1.0,1.0,1,1,,NAO,78
2078104,3522502078104,35,352250,46374500000194.0,SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,HOSPITAL GERAL DE ITAPEVI,,,E,,,E ,ESTADUAL,3,5,6694230,RUA JESUINO JOAQUIM DA SILVA,S/N,JARDIM NOVA ITAPEVI,(11) 4143-8600,-23.546934,-46.933372,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46374500013849.0,sandra.rodrigues@cejam.org.br,1023,1.0,1.0,1.0,1.0,1,1,,SIM,167
2078112,3544902078112,35,354490,,SOCIEDADE BENEFICENTE E HOSPITALAR SANTA RITA,HOSPITAL SANTA RITA DE SALES OLIVEIRA,,,M,,,M ,MUNICIPAL,4,5,14660000,RUA SETE DE SETEMBRO,589,CENTRO,(16)38529999,-20.77138,-47.83587,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",56626195000134.0,hospitalsantarita@netsite.com.br,3999,1.0,1.0,1.0,1.0,1,1,,SIM,14
2078120,3533602078120,35,353360,,HOSPITAL SAO GERALDO,HOSPITAL SAO GERALDO DE NUPORANGA,,,D,,,D ,DUPLA,4,5,14670000,RUA SAO JOSE,287,CENTRO,(16)38471129,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",53213682000187.0,,3000,1.0,0.0,0.0,1.0,1,1,4.0,NAO,0
2078139,3541502078139,35,354150,,IRMANDADE DA SANTA CASA DE PRESIDENTE VENCESLAU,SANTA CASA DE PRESIDENTE VENCESLAU,,,M,,,M ,MUNICIPAL,4,5,19400059,EMILIANO VILANOVA,66,CENTRO,(18)32711124,-21.87177429,-51.84161782,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",55559900000165.0,adm.santacasavenceslau@hotmail.com,3999,1.0,1.0,1.0,1.0,1,1,,SIM,73
2078147,3541402078147,35,354140,,HOSPITAL UNIMED PRESIDENTE PRUDENTE LTDA,HOSPITAL UNIMED,,,M,,,M ,MUNICIPAL,4,5,19015140,RUA DR GURGEL,715,CENTRO,(18)3311-5000,-22.12122629,-51.38921499,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",55329890000171.0,contab_hmsg@outlook.com,2062,1.0,1.0,0.0,1.0,1,1,,NAO,97
2078155,3518802078155,35,351880,,CONGREGACAO DAS FILHAS DE N SENHORA STELA MARIS,HOSPITAL STELLA MARIS,,,M,,,M ,MUNICIPAL,4,5,7041020,RUA MARIA CANDIDA PEREIRA,568,ITAPEGICA,1124238500,-23.46297076,-46.53302193,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",49052533000106.0,asadm@hospitalstelamaris.com.br,3999,1.0,0.0,0.0,1.0,1,1,,SIM,96
2078163,3550302078163,35,355030,56577059000100.0,HOSPITAL DAS CLINICAS FMUSPFUNDACAO FACULDADE DE MEDICINA,HOSP DAS CLINICASHOSP AUXILIAR DE COTOXO,,,E,,,E ,ESTADUAL,3,5,5021010,RUA COTOXO,1142,SUMARE,(11)30696241,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,conceicao@jcr.ncnet.usp.br,1000,0.0,0.0,0.0,0.0,1,1,4.0,NAO,0
2078171,3534402078171,35,353440,,NOTRE DAME INTERMEDICA SAUDE S A,HOSPITAL E MATERNIDADE RENASCENCA,,,M,,,M ,MUNICIPAL,4,5,6013070,RUA PEDRO FIORETTI,S/N,VILA REGINA,(11)3651-7550,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",44649812004206.0,massanori.junior@intermedica.com.br,2054,1.0,1.0,1.0,1.0,1,1,10.0,NAO,0
2078228,3504102078228,35,350410,,HOSPITAL NOVO ATIBAIA SA,HOSPITAL NOVO ATIBAIA,,,M,,,M ,MUNICIPAL,4,5,12941900,RUA PEDRO CUNHA,145,VIL SANTISTA,(11)44146000,-23.11626039,-46.54316664,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",52956901000155.0,,2054,1.0,0.0,1.0,1.0,1,1,,NAO,66
2078252,3506502078252,35,350650,,IRMANDADE DA SANTA CASA DE MISERICORDIA DE BIRIGUI,SANTA CASA DE BIRIGUI,,,M,,,M ,MUNICIPAL,4,5,16201010,RUA DR CARLOS CARVALHO ROSA,115,SILVARES,(18) 3649.3100,-21.2820755,-50.33581559,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",45383106000150.0,ADMINISTRACAO@SANTACASABIRIGUI.COM.BR,3999,1.0,1.0,1.0,1.0,1,1,,SIM,88
2078295,3553702078295,35,355370,,IRMANDADE DA SANTA CASA DE MIS E MAT D ZILDA SALVAGNI,SANTA CASA DE TAQUARITINGA,,,M,,,M ,MUNICIPAL,4,5,15900037,DOUTOR JOSE FURIATTI,153,CENTRO,16 32539230,-21.406,-48.505,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",72127210000156.0,STACASATQ@TERRA.COM.BR,3999,1.0,1.0,1.0,1.0,1,1,,SIM,104
2078333,3553502078333,35,355350,,SANTA CASA DE MISERICORDIA DE TAPIRAI,SANTA CASA TAPIRAI,,,E,,,E ,ESTADUAL,4,5,18180000,RUA RAUL LEITE DE MAGALHAES,555,CENTRO,(15)02771203,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",45476231000104.0,,3000,0.0,1.0,1.0,1.0,1,1,4.0,NAO,0
2078341,3531802078341,35,353180,,ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,,,M,,,M ,MUNICIPAL,4,5,13190170,AV JANIO QUADROS,1000,JD SANTO ANTONIO,(19)38791999,-22.94556978,-47.31348038,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",52973872000130.0,hospmor@interall.com.br,3999,1.0,1.0,1.0,1.0,1,1,,SIM,22
2078368,3545202078368,35,354520,58837188000107.0,UNIMED SALTO ITU COOPERATIVA MEDICA,HOSPITAL UNIMED DE SALTO,,,M,,,M ,MUNICIPAL,4,5,13320250,24 DE OUTUBRO,749,CENTRO,11 40139595,-23.201,-47.287,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",58837188000298.0,contabilidade@unimedsaltoitu.com.br,2143,1.0,1.0,1.0,1.0,1,1,11.0,NAO,0
2078376,3509502078376,35,350950,,HOSPITAL VERA CRUZ S A,HOSPITAL VERA CRUZ,,,M,,,M ,MUNICIPAL,4,5,13013900,ANDRADE NEVES,402,BAIRRO CENTRO,19 37343288,-22.9043,-47.06843,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46009718000140.0,juridico@hospitalveracruz.com.br,2054,1.0,0.0,0.0,1.0,1,1,,NAO,145
2078406,3550302078406,35,355030,,HOSPITAL INDEPENDENCIA ZONA LESTE LTDA,HOSP INDEPENDENCIA,,,M,,,M ,MUNICIPAL,4,5,8061100,RUA URUCURANA,1,JARDIM PEDRO JOSE NU,(11)20306000,-23.4988,-46.4633284,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",71951099000155.0,diretoriamedica@hmindependencia.com.br,2062,1.0,1.0,1.0,1.0,1,1,,NAO,76
2078414,3517402078414,35,351740,,SANTA CASA DE MISERICORDIA DE GUAIRA,SANTA CASA DE GUAIRA,,,M,,,M ,MUNICIPAL,4,5,14790041,RUA 24,872,PARANOA,(17)3332.7000,-20.32580275,-48.318539,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",48341283000161.0,santacasafinanceiro@netsite.co,3999,1.0,1.0,1.0,1.0,1,1,,SIM,48
2078422,3537102078422,35,353710,,FUNDACAO BENEFICIENTE DE PEDREIRA,FUNBEPE PEDREIRA,,,M,,,M ,MUNICIPAL,4,5,13927118,RUA HENRIQUETA R CANESSO,161,VIL CANESSO,(19)38529630,-22.74414665,-46.91743612,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",59006460000170.0,funbepe@ig.com.br,1279,1.0,1.0,0.0,1.0,1,1,,SIM,38
2078430,3515502078430,35,351550,,HOSPITAL DAS CLINICAS DE FERNANDOPOLIS SC LTDA,HOSPITAL DAS CLINICAS DE FERNANDOPOLIS,,,M,,,M ,MUNICIPAL,4,5,15600001,AV EXPEDICIONARIOS BRASILEIROS,1181,CENTRO,(17)34421844,-20.2827785,-50.24586439,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",47834106000154.0,hospitaldasclinicas@terra.com.br,2240,1.0,1.0,1.0,1.0,1,1,,NAO,9
2078449,3536302078449,35,353630,,SANTA CASA DE MISERICORDIA DE PATROCINIO PAULISTA,SANTA CASA DE PATROCINIO PAULISTA,,,M,,,M ,MUNICIPAL,4,5,14415000,RUA CONEGO PEREGRINO,1281,CENTRO,(16)31451121,-20.64285973,-47.28139579,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",53723870000155.0,stacasapatpta@uol.como.br.,3999,1.0,1.0,1.0,1.0,1,1,,SIM,22
2078457,3550302078457,35,355030,,ASSOCIACAO HOSPITALAR FILHAS DE NOSSA SENHORA DO MONTE CALVA,HOSP STA VIRGINIA,,,M,,,M ,MUNICIPAL,4,5,3014000,CELSO GARCIA,2294,BELEM,11 27993171,-23.5368617,-46.5901771,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",18180008000142.0,juridico@hsv.org.br,3999,1.0,0.0,0.0,1.0,1,1,,NAO,67
2078465,3509502078465,35,350950,,REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA,REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA,,,M,,,M ,MUNICIPAL,4,5,13013101,ONZE DE AGOSTO,557,BOTAFOGO,019 32312411,-22.90389727,-47.06799924,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46030318000116.0,beneficenciacamp@beneficenciacamp.com.br,3999,1.0,0.0,0.0,1.0,1,1,,SIM,133
2078473,3513502078473,35,351350,47492806000108.0,HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA,HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA,,,M,,,M ,MUNICIPAL,4,5,11515000,AV HENRY BORDEN,S/N,VILA SANTA ROSA,(13) 3512-7800,-23.89011477,-46.42084122,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,diretoriatecnica.hmc@sbcdsaude.org.br,1244,1.0,1.0,1.0,1.0,1,1,,SIM,105
2078481,3550302078481,35,355030,,REDE DOR SAO LUIZ S A,HOSPITAL CENTRAL DO TATUAPE,,,M,,,M ,MUNICIPAL,4,5,3303000,PADRE ADELINO,901,IV PARADA,(11) 2062-0000,-23.5440866,-46.5850511,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",6047087015080.0,licenciamentosp@rededor.com.br,2046,1.0,0.0,0.0,1.0,1,1,,NAO,96
2078503,3537302078503,35,353730,,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PENAPOLIS,SANTA CASA DE PENAPOLIS,,,M,,,M ,MUNICIPAL,4,5,16300027,SANTA CASA,566,CENTRO,18 36542210,-21.42221263,-50.07135987,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",53894218000101.0,SANTACASA@SANTACASADEPENAPOLIS.COM.BR,3999,1.0,1.0,1.0,1.0,1,1,,SIM,61
2078511,3520442078511,35,352044,,ASSOCIACAO LAR SAO FRANCISCO DE ASSIS NA PROVIDENCIA DE DEUS,HOSPITAL REGIONAL DE ILHA SOLTEIRA,,,E,,,E ,ESTADUAL,4,5,15385192,ALAMEDA BAHIA,618,CENTRO,(18) 37431500,-20.426644,-51.341999,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",53221255003409.0,sus.hris@alsf.org.br,3999,1.0,1.0,0.0,1.0,1,1,,SIM,55
2078538,3524002078538,35,352400,45780061000157.0,PREFEITURA MUNICIPAL DE ITUPEVA,HOSPITAL NOSSA SENHORA APARECIDA,,,M,,,M ,MUNICIPAL,4,5,13296373,PRACA SAO VENANCIO,2,LAGOA,(11)45911220,-23.15336228,-47.05577374,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,uac.saude@itupeva.sp.gov.br,1244,1.0,1.0,1.0,1.0,1,1,,SIM,31
2078546,3548602078546,35,354860,,SANTA CASA DE MISERICORDIA DE SAO BENTO DO SAPUCAI,SANTA CASA SAO BENTO DO SAPUCAI,,,M,,,M ,MUNICIPAL,4,5,12490000,GAL MARCONDES SALGADO,34,CENTRO,12 369717000,-22.68674356,-45.73035547,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",59086215000110.0,administracao@santacasadesaobento.com.br,3999,1.0,1.0,0.0,1.0,1,1,,SIM,25
2078562,3523102078562,35,352310,46374500000194.0,SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,HOSPITAL GERAL DE ITAQUAQUECETUBA,,,E,,,E ,ESTADUAL,4,5,8599280,RUA RIO NEGRO,48,JARDIM NOVA ITAQUA,(11) 4645-4200,-23.47223075,-46.34569677,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46374500013504.0,secretariaitaqua@oss.santamarcelina.org,1023,1.0,1.0,1.0,1.0,1,1,,SIM,177
2078570,3550302078570,35,355030,,SPDM ASSOC PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,HOSPITAL CANTAREIRA,,,M,,,M ,MUNICIPAL,4,5,2340000,AV NOVA CANTAREIRA,3050,TUCURUVI,(11)22033222,-23.4727762,-46.6156307,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",61699567004937.0,nfe@cantareira.spdm.org.br,3999,0.0,0.0,0.0,0.0,1,1,,SIM,50
2078589,3550302078589,35,355030,,CRUZ AZUL DE SAO PAULO,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,,,M,,,M ,MUNICIPAL,3,5,1538900,LINS DE VASCONCELOS,356,CAMBUCI,,-23.5659259,-46.6221639,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",62106505000192.0,,3999,1.0,1.0,0.0,1.0,1,1,,SIM,225
2078597,3550302078597,35,355030,,HOSPITAL ALEMAO OSWALDO CRUZ,UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO,,,M,,,M ,MUNICIPAL,4,5,1504000,R VERGUEIRO,17,LIBERDADE,113549-0000 R.3077,-23.325,-46.381,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",60726502000711.0,unidadereferencidavergueiro@haocmail.onmicrosoft.com.br,3999,1.0,0.0,0.0,1.0,1,1,10.0,SIM,0
2078600,3550302078600,35,355030,,COMANDO DA AERONAUTICA,HOSP DA AERONAUTICA DE SPHASP,,,M,,,M ,MUNICIPAL,3,5,2012021,OLAVO FONTOURA,1400,SANTANA,,-23.513847,-46.644913,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",394429010688.0,protocolo.hfasp@fab.mil.br,1015,1.0,0.0,1.0,1.0,1,1,,NAO,40
2078619,3550302078619,35,355030,,HOSPITAL E MATERNIDADE SAO MIGUEL S A,HOSPITAL SAO MIGUEL UNIDADE SAO MIGUEL PAULISTA,,,M,,,M ,MUNICIPAL,4,5,8010320,RUA DOUTOR LUIZ PICOLLO,11,SAO MIGUEL PAULISTA,1127140100,-23.56740939,-46.57057285,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",60458262000126.0,negociacao@hsaomiguel.com.br,2054,1.0,1.0,1.0,1.0,1,1,,NAO,0
2078627,3550302078627,35,355030,,DAY HOSPITAL DE ERMELINO MATARAZZO LTDA,HOSPITAL SAO MIGUEL UNIDADE ERMELINO MATARAZZO,,,M,,,M ,MUNICIPAL,4,5,3810110,RUA ABEL TAVARES,2576,JARDIM BELEM,1134885400,-23.4862415,-46.4740375,3,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,67133637000127.0,gilbertomellacejr@gmail.com,2062,1.0,0.0,0.0,1.0,1,1,,NAO,57
2078635,3550302078635,35,355030,,GRUPO ITASA LIFE LTDA,HOSPITAL ITAQUERA,,,M,,,M ,MUNICIPAL,4,5,8210510,RUA JOSE OITICICA FILHO,123,ITAQUERA,,-23.5366,-46.4505148,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",52843158000127.0,,2240,1.0,0.0,0.0,1.0,1,1,,NAO,110
2078651,3550402078651,35,355040,,HOSPITAL SAO PEDRO SC LTDA,HOSPITAL SAO PEDRO SAO PEDRO,,,M,,,M ,MUNICIPAL,4,5,13520000,RUA OLAVO BILAC,372,SAO BENEDITO,(19)4813555,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",1942349000105.0,cmhsp@zipmail.com.br,2000,1.0,0.0,1.0,1.0,1,1,4.0,NAO,0
2078678,3509502078678,35,350950,,ESHO EMPRESA DE SERVICOS HOSPITALARES S A,HOSPITAL MADRE THEODORA CAMPINAS,,,M,,,M ,MUNICIPAL,4,5,13087567,RUA JOSE GERALDO CEREBINO CHRISTOFARO,175,PARQUE RURAL FAZENDA,(19) 3756-3025,-22.8405517,-47.0509566,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",29435005008456.0,prolegalize@prolegalize.com.br,2054,1.0,1.0,1.0,1.0,1,1,,NAO,67
2078686,3524102078686,35,352410,,HOSPITAL E MATERNIDADE DE ITUVERAVA LTDA,HOSPITAL SAO JORGE,,,M,,,M ,MUNICIPAL,4,5,14503180,MARIA LIPORACI,421,CENTRO,16 38301130,-20.33597548,-47.79087067,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",46710356000110.0,maternsaojorge@gmail.com,2062,1.0,1.0,1.0,1.0,1,1,,NAO,25
2078716,3506002078716,35,350600,,HOSPITAL PRONTOCOR DE BAURU SC LTDA,HOSPITAL PRONTOCOR DE BAURU,,,M,,,M ,MUNICIPAL,4,5,17015321,RUA GUSTAVO MACIEL,1515,CENTRO,40093232,,,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",54726120000108.0,prontocr@hospitalprontocor.com,2062,1.0,0.0,0.0,1.0,1,1,4.0,NAO,0
2078732,3552202078732,35,355220,,NOTRE DAME INTERMEDICA SAUDE S A,HOSPITAL SAMARITANO DE SOROCABA,,,M,,,M ,MUNICIPAL,4,5,18035085,RUA RODRIGUES PACHECO,145,CENTRO,15 32194464,-23.50203915,-47.45398198,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",44649812034709.0,rita.arrais@intermedica.com.br,2054,1.0,1.0,1.0,1.0,1,1,,NAO,98
2078740,3548502078740,35,354850,,HOSPITAL SAO LUCAS DE SANTOS LTDA,HOSPITAL SAO LUCAS DE SANTOS,,,M,,,M ,MUNICIPAL,4,5,11060905,ANA COSTA,168,VILA BELMIRO,13 21025057,-23.94947,-46.3315,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",58213380000122.0,DIRETORIA@HSLSANTOS.COM.BR,2062,1.0,1.0,1.0,1.0,1,1,,NAO,63
2078759,3525902078759,35,352590,,HOSPITAL SANTA ELISA LTDA,HOSPITAL SANTA ELISA,,,M,,,M ,MUNICIPAL,4,5,13201838,RUA SOCRATES FERNANDES DE OLIVEIRA,70,CHACARA URBANA,(11)45834444,-23.18277435,-46.89222426,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",50964097000120.0,diretoria@hse.com.br,2062,1.0,1.0,1.0,1.0,1,1,,NAO,64
2078767,3525902078767,35,352590,,SOBAM CENTRO MEDICO HOSPITALAR S A,HOSPITAL PITANGUEIRAS,,,M,,,M ,MUNICIPAL,4,5,13207270,PINTANGUEIRAS,651,VIANELO,,-23.187687,-46.88522816,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",50739135001709.0,,2054,1.0,0.0,1.0,1.0,1,1,,NAO,127
2078775,3502802078775,35,350280,,SANTA CASA DE MISERICORDIA DE ARACATUBA,SANTA CASA DE ARACATUBA HOSPITAL SAGRADO CORACAO DE JESUS,,,E,,,E ,ESTADUAL,4,5,16015000,RUA FLORIANO PEIXOTO,896,VILA MENDONCA,(18)3607-3000,-21.2054396,-50.4309732,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",43751502000167.0,sta.atra@ata.zaz.com.br,3999,1.0,1.0,1.0,1.0,1,1,,SIM,324
2078848,3501902078848,35,350190,,SANTA CASA ANNA CINTRA,SANTA CASA ANNA CINTRA,,,M,,,M ,MUNICIPAL,4,5,13901901,ANA CINTRA,332,CENTRO,,-22.69677069,-46.7683804,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",43464197000122.0,,3999,1.0,1.0,1.0,1.0,1,1,,SIM,48
2078864,3548902078864,35,354890,,CASA DE SAUDE E MATERNIDADE SAO CARLOS LTDA,CASA DE SAUDE,,,M,,,M ,MUNICIPAL,4,5,13560181,RUA SETE DE SETEMBRO,3033,VIL NERY,(16)3373-2455,-22.0158679,-47.8818984,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",59612846000125.0,contato@cshm.com.br,2062,1.0,1.0,1.0,1.0,1,1,10.0,NAO,0
2078872,3520502078872,35,352050,,HOSPITAL SANTA IGNES SC LTDA,HOSPITAL SANTA IGNES,,,M,,,M ,MUNICIPAL,4,5,13334085,AVENIDA PRESIDENTE VARGAS,1591,CIDADE NOVA,(19)3885 8400,-23.085183,-47.196337,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",44732469000190.0,adm@hospitalsantaignes.com.br,2062,1.0,0.0,1.0,1.0,1,1,,SIM,50
